Window,Normalization,Dimensions,SimLex-Correlation,SimLex-Coverage,WordSim-Correlation,WordSim-Coverage,Analogy-Accuracy,Clustering-Silhouette,Method,Analogy-Total,Configuration
10.0,ppmi,100,0.4007286721513691,0.4976235575275561,0.2533203795636806,0.5783775938052662,0.3333333333333333,0.18074894,Co-occurrence,,
10.0,ppmi,200,0.9935316200438116,0.5392611037098846,0.9773790643964876,0.3473960581054321,0.3333333333333333,0.100681566,Co-occurrence,,
10.0,ppmi,300,0.7568727254864368,0.862619018981345,0.6251303465020315,0.1086255384308869,0.3333333333333333,0.06296299,Co-occurrence,,
10.0,ppmi,50,0.0590674768258933,0.3307936311861116,0.9508388710224306,0.5381532576813419,0.3333333333333333,0.24731503,Co-occurrence,,
10.0,rownormalize,100,0.69215239332803,0.7763546714511492,0.8956669661649775,0.2623813973831495,0.3333333333333333,0.13654537,Co-occurrence,,
10.0,rownormalize,200,0.9917591909599404,0.8291706364549774,0.3510805715255941,0.2364090708014486,0.3333333333333333,0.07515562,Co-occurrence,,
10.0,rownormalize,300,0.2288243637900164,0.1547409722313582,0.2786643379692886,0.5773554519550946,0.3333333333333333,0.0685879,Co-occurrence,,
10.0,rownormalize,50,0.0987568183158844,0.4172464352230732,0.4603064921593879,0.7073650542886025,0.0,0.042343386,Co-occurrence,,
10.0,tfidf,100,0.8248024278746364,0.7340038973176185,0.5781708209499785,0.0579873904879262,0.0,0.6952243,Co-occurrence,,
10.0,tfidf,200,0.3814673882869871,0.0009862833513484,0.0866261729381416,0.8300880897751336,0.3333333333333333,0.013186545,Co-occurrence,,
10.0,tfidf,300,0.1636316650666307,0.551745299647198,0.1103067714983052,0.8073053596072184,0.3333333333333333,-0.013654486,Co-occurrence,,
10.0,tfidf,50,0.9817143675629136,0.3932629845750833,0.0806124730640666,0.9868226576506748,0.0,0.8108037,Co-occurrence,,
2.0,ppmi,100,0.4063591270114133,0.146099029562668,0.9207598110038128,0.0733964161811864,0.3333333333333333,0.20321894,Co-occurrence,,
2.0,ppmi,200,0.2410150213516876,0.875018113140219,0.8573376870067065,0.0302406382775588,0.3333333333333333,0.17586146,Co-occurrence,,
2.0,ppmi,300,0.5866649301580985,0.9428255541125906,0.5336108989140933,0.4225463172430085,0.3333333333333333,0.27972037,Co-occurrence,,
2.0,ppmi,50,0.0623233214997476,0.1440643450557059,0.5944553602568706,0.958867935998785,0.3333333333333333,0.33034393,Co-occurrence,,
2.0,rownormalize,100,0.1547021752214862,0.1325274388933823,0.2887277698435179,0.3698258385081804,0.3333333333333333,0.133203,Co-occurrence,,
2.0,rownormalize,200,0.9712899303847194,0.2393735707654788,0.0263679407741685,0.8898364048834193,0.3333333333333333,0.0744962,Co-occurrence,,
2.0,rownormalize,300,0.0222711415528449,0.4051685620159998,0.4262683840923232,0.4013619891846841,0.3333333333333333,0.09034294,Co-occurrence,,
2.0,rownormalize,50,0.401606341939796,0.4662456342810555,0.5551299199134804,0.6866636474312211,0.0,0.21195005,Co-occurrence,,
2.0,tfidf,100,0.7541300744159826,0.9692188425948972,0.1489947935581617,0.8623506110109058,0.0,0.6644089,Co-occurrence,,
2.0,tfidf,200,0.2820793104726631,0.0297627481345085,0.8939112363940699,0.3384021652299818,0.3333333333333333,0.023484923,Co-occurrence,,
2.0,tfidf,300,0.4240003088293326,0.3278046662910717,0.6276089834520723,0.3328906155748911,0.3333333333333333,0.5692072,Co-occurrence,,
2.0,tfidf,50,0.6855538142465919,0.1165949789688083,0.3832478443633297,0.0603029009275445,0.0,0.4050732,Co-occurrence,,
4.0,ppmi,100,0.0069318808275804,0.6199050248683617,0.7163926447005066,0.0677332521985398,0.3333333333333333,0.16710168,Co-occurrence,,
4.0,ppmi,200,0.1516703689094716,0.5940533094924682,0.6326132622628579,0.5362918587409777,0.3333333333333333,0.18800612,Co-occurrence,,
4.0,ppmi,300,0.8299016353768046,0.6556055043190252,0.87654296679063,0.4765982336515448,0.3333333333333333,0.22888483,Co-occurrence,,
