Window,Normalization,Dimensions,SimLex-Correlation,SimLex-Coverage,WordSim-Correlation,WordSim-Coverage,Analogy-Accuracy,Clustering-Silhouette
10,ppmi,100,0.4007286721513691,0.49762355752755616,0.2533203795636806,0.5783775938052662,0.3333333333333333,0.18074894
10,ppmi,200,0.9935316200438115,0.5392611037098846,0.9773790643964877,0.34739605810543217,0.3333333333333333,0.100681566
10,ppmi,300,0.7568727254864368,0.862619018981345,0.6251303465020315,0.10862553843088696,0.3333333333333333,0.06296299
10,ppmi,50,0.059067476825893306,0.3307936311861116,0.9508388710224306,0.5381532576813419,0.3333333333333333,0.24731503
10,rownormalize,100,0.69215239332803,0.7763546714511492,0.8956669661649775,0.2623813973831495,0.3333333333333333,0.13654537
10,rownormalize,200,0.9917591909599403,0.8291706364549774,0.35108057152559413,0.23640907080144868,0.3333333333333333,0.07515562
10,rownormalize,300,0.22882436379001647,0.1547409722313582,0.2786643379692886,0.5773554519550946,0.3333333333333333,0.0685879
10,rownormalize,50,0.09875681831588445,0.41724643522307325,0.4603064921593879,0.7073650542886025,0.0,0.042343386
10,tfidf,100,0.8248024278746364,0.7340038973176185,0.5781708209499785,0.05798739048792623,0.0,0.6952243
10,tfidf,200,0.3814673882869871,0.000986283351348427,0.08662617293814168,0.8300880897751336,0.3333333333333333,0.013186545
10,tfidf,300,0.16363166506663074,0.551745299647198,0.11030677149830526,0.8073053596072184,0.3333333333333333,-0.013654486
10,tfidf,50,0.9817143675629135,0.39326298457508335,0.0806124730640666,0.9868226576506747,0.0,0.8108037
2,ppmi,100,0.4063591270114133,0.14609902956266807,0.9207598110038129,0.07339641618118642,0.3333333333333333,0.20321894
2,ppmi,200,0.24101502135168762,0.875018113140219,0.8573376870067065,0.03024063827755885,0.3333333333333333,0.17586146
2,ppmi,300,0.5866649301580985,0.9428255541125906,0.5336108989140933,0.4225463172430085,0.3333333333333333,0.27972037
2,ppmi,50,0.06232332149974762,0.14406434505570598,0.5944553602568706,0.958867935998785,0.3333333333333333,0.33034393
2,rownormalize,100,0.15470217522148622,0.13252743889338237,0.2887277698435179,0.3698258385081804,0.3333333333333333,0.133203
2,rownormalize,200,0.9712899303847194,0.23937357076547883,0.026367940774168597,0.8898364048834193,0.3333333333333333,0.0744962
2,rownormalize,300,0.02227114155284493,0.4051685620159998,0.42626838409232326,0.40136198918468413,0.3333333333333333,0.09034294
2,rownormalize,50,0.40160634193979605,0.4662456342810555,0.5551299199134804,0.6866636474312211,0.0,0.21195005
2,tfidf,100,0.7541300744159826,0.9692188425948973,0.1489947935581617,0.8623506110109058,0.0,0.6644089
2,tfidf,200,0.2820793104726631,0.02976274813450852,0.8939112363940699,0.3384021652299818,0.3333333333333333,0.023484923
2,tfidf,300,0.4240003088293326,0.32780466629107174,0.6276089834520723,0.3328906155748911,0.3333333333333333,0.5692072
2,tfidf,50,0.6855538142465919,0.11659497896880833,0.3832478443633297,0.060302900927544534,0.0,0.4050732
